年月,月平均気温,アイスクリーム支出金額
2010年1月,7.0,362
2010年2月,6.5,305
2010年3月,9.1,383
2010年4月,12.4,464
2010年5月,19.0,752
2010年6月,23.6,841
2010年7月,28.0,1211
2010年8月,29.6,1451
2010年9月,25.1,864
2010年10月,18.9,504
2010年11月,13.5,351
2010年12月,9.9,423
2011年1月,5.1,346
2011年2月,7.0,289
2011年3月,8.1,329
2011年4月,14.5,462
2011年5月,18.5,672
2011年6月,22.8,791
2011年7月,27.3,1265
2011年8月,27.5,1241
2011年9月,25.1,767
2011年10月,19.5,516
2011年11月,14.9,393
2011年12月,7.5,423
2012年1月,4.8,339
2012年2月,5.4,274
2012年3月,8.8,385
2012年4月,14.5,524
2012年5月,19.6,671
2012年6月,21.4,798
2012年7月,26.4,1165
2012年8月,29.1,1332
2012年9月,26.2,849
2012年10月,19.4,515
2012年11月,12.7,326
2012年12月,7.3,414
2013年1月,5.5,363
2013年2月,6.2,322
2013年3月,12.1,438
2013年4月,15.2,525
2013年5月,19.8,761
2013年6月,22.9,878
2013年7月,27.3,1234
2013年8月,29.2,1437
2013年9月,25.2,794
2013年10月,19.8,549
2013年11月,13.5,370
2013年12月,8.3,445
2014年1月,6.3,396
2014年2月,5.9,309
2014年3月,10.4,447
2014年4月,15.0,520
2014年5月,20.3,803
2014年6月,23.4,900
2014年7月,26.8,1202
2014年8月,27.7,1238
2014年9月,23.2,748
2014年10月,19.1,570
2014年11月,14.2,419
2014年12月,6.7,455
,（℃）,（円）
